,pred,truth
0,0.15753026,0.15105213
1,0.15753026,0.092987575
2,0.1485791,0.19781739
3,0.1555198,0.09427457
4,0.14772795,-0.0110969115
5,0.12299242,0.15319255
6,0.123628624,0.26302394
7,0.14424881,0.027314615
8,0.13010906,0.16196863
9,0.13431937,0.05507978
10,0.123127125,0.35093668
11,0.15694773,0.2792299
12,0.18200548,0.16295664
13,0.1864273,0.24196474
14,0.19913273,0.29804397
15,0.21892887,0.20772253
16,0.22332111,0.30880243
17,0.24035719,0.3918688
18,0.26896152,0.36126718
19,0.29113925,0.34632334
20,0.30752355,0.30612457
21,0.31435814,0.33152774
22,0.32209304,0.41288584
23,0.34045595,0.5730985
24,0.38160262,0.37418705
25,0.39121026,0.46507213
26,0.40926984,0.3664865
27,0.410119,0.4171784
28,0.415663,0.3110307
29,0.40432045,0.5463904
30,0.42689058,0.5828616
31,0.455921,0.69192183
32,0.49886945,0.3706635
33,0.49158624,0.50911987
34,0.49894485,0.58001244
35,0.51555943,0.59816325
36,0.5336748,0.5196388
37,0.5384304,0.61986053
38,0.55512834,0.65341425
39,0.5753115,0.63102907
40,0.590175,0.63222027
41,0.60250735,0.73713154
42,0.6271883,0.45965862
43,0.6106415,0.7903934
44,0.6377042,0.835261
45,0.6711755,0.6696888
46,0.6790754,0.74391747
47,0.69322324,0.61407465
48,0.6874004,0.68263274
49,0.6890995,0.945103
50,0.72613156,0.608079
51,0.7167883,0.89596885
52,0.74301857,0.6571579
53,0.7365214,0.83371526
54,0.75137484,0.8727359
55,0.770875,0.78785664
56,0.7772785,0.8579466
57,0.79062736,0.88486296
58,0.8058999,0.76989466
59,0.8042058,0.85239166
60,0.8115406,0.6712223
61,0.794438,1.0150913
62,0.8217968,0.7917523
63,0.8207354,0.78833973
64,0.8172358,0.85022736
65,0.8214473,0.8709444
66,0.8282991,0.9650593
67,0.8466033,0.83721983
68,0.84734106,0.94708794
69,0.8603194,1.0799935
70,0.88873273,0.9902517
71,0.90358603,1.0266334
72,0.9195991,1.1227582
73,0.944448,0.8767326
74,0.93656236,1.0267962
75,0.94478345,0.99512166
76,0.94865185,1.1928159
77,0.9749208,1.149855
78,0.9941122,0.91515064
79,0.9825756,1.0081395
80,0.9806995,0.9934232
81,0.97740215,1.0745362
82,0.9839528,1.1391855
83,0.99793273,0.97303116
84,0.9912787,1.0758646
85,0.99595994,0.9916898
86,0.99068505,1.1465045
87,1.003426,1.1070365
88,1.0111449,1.0628364
89,1.0124278,1.1636028
90,1.0244509,1.1239877
91,1.0308778,0.8943676
92,1.0093039,0.92815304
93,0.99206394,0.8569696
94,0.9683496,1.0059181
95,0.96528494,0.97051984
96,0.96033293,1.0465066
97,0.9656055,1.0241591
98,0.9686478,0.9467064
99,0.9620773,1.00845
100,0.9630168,1.1936201
101,0.98612446,1.0260116
102,0.9883569,0.849804
103,0.9677021,1.0953163
104,0.9768688,0.98226947
105,0.97342485,0.96249425
106,0.96738243,0.9350018
107,0.9585412,0.9915558
108,0.957431,0.78403574
109,0.93172824,1.0166392
110,0.93604904,0.89407533
111,0.9272573,0.8692374
112,0.91594803,0.8443856
113,0.9028008,0.8727562
114,0.89481354,0.9161531
115,0.89394593,0.92317414
116,0.8950432,0.7845504
117,0.87901646,0.8979802
118,0.8779971,0.9898663
119,0.889844,0.910774
120,0.89180046,0.8726275
121,0.8881308,0.8313077
122,0.8790246,0.8793416
123,0.8764825,0.9045977
124,0.8779828,0.739738
125,0.85881263,0.9432359
126,0.8662792,0.68095917
127,0.8413861,0.96177995
128,0.8532326,0.700755
129,0.8331564,0.762555
130,0.82122445,0.7164042
131,0.8051362,0.87114066
132,0.81120425,0.76000553
133,0.8044079,0.8943492
134,0.81538874,0.9044868
135,0.82800025,0.85915166
136,0.83365273,0.65961796
137,0.81185544,0.6307017
138,0.7857173,0.6443051
139,0.76337254,0.64294696
140,0.7438261,0.55647624
141,0.7153907,0.7319665
142,0.7140565,0.5500792
143,0.6910756,0.7125931
144,0.6920334,0.6573759
145,0.6879564,0.42972735
146,0.6526563,0.47782323
147,0.6248472,0.5890287
148,0.6164501,0.48064014
149,0.59633124,0.46935573
150,0.5765626,0.3480538
151,0.5416595,0.6532104
152,0.5537087,0.37834263
153,0.53039134,0.5337346
154,0.52981454,0.23271842
155,0.4874051,0.41386276
156,0.47222075,0.34799504
157,0.45173037,0.2143477
158,0.41391414,0.50040007
159,0.42154947,0.3981659
160,0.41918305,0.22998579
161,0.39235812,0.35179526
162,0.38403356,0.45686987
163,0.39442724,0.3424994
164,0.38978428,0.28740034
165,0.37630007,0.10143365
166,0.33464065,0.11460187
167,0.29561904,0.28440595
168,0.286675,0.20321484
169,0.27108985,0.28361863
170,0.27041057,0.014281904
171,0.23116258,0.08123036
172,0.20225626,0.21028545
173,0.19719578,0.07794695
174,0.17650878,0.16372386
175,0.17068838,-0.06322819
176,0.13283193,0.07687184
177,0.117283665,0.15007222
178,0.11748844,-0.0013837494
179,0.09780354,0.24936895
180,0.11733567,0.0625975
181,0.1114065,-0.12632115
182,0.07480334,-0.025009325
183,0.053092964,-0.07480832
184,0.027349142,-0.15043408
185,-0.0068430323,-0.10214156
186,-0.030330395,-0.19268131
187,-0.062970236,-0.051187865
188,-0.07043145,-0.1275484
189,-0.08445768,-0.09205445
190,-0.09079478,-0.12066995
191,-0.09911659,-0.09046652
192,-0.10144116,-0.13154489
193,-0.10855547,-0.23175572
194,-0.13031147,-0.3096112
195,-0.16329716,-0.38141173
196,-0.2049667,-0.29265916
197,-0.22971427,-0.36474448
198,-0.2595227,-0.41447496
199,-0.29243,-0.23380189
200,-0.2945664,-0.30632788
201,-0.30207035,-0.361949
202,-0.3158462,-0.33405185
203,-0.3242541,-0.3023498
204,-0.32611656,-0.40357926
205,-0.341205,-0.35943416
206,-0.34937707,-0.47407523
207,-0.3724409,-0.39126855
208,-0.38242158,-0.28407812
209,-0.37404084,-0.5555613
210,-0.40262663,-0.40531456
211,-0.4102762,-0.6082963
212,-0.44392636,-0.5034309
213,-0.4613862,-0.48229557
214,-0.47200698,-0.4931854
215,-0.4811116,-0.63937557
216,-0.50848013,-0.6559844
217,-0.5365703,-0.55145884
218,-0.54724777,-0.6797707
219,-0.5715264,-0.6645728
220,-0.5914444,-0.7378408
221,-0.61793005,-0.68694437
222,-0.6346925,-0.6491632
223,-0.6429516,-0.6526131
224,-0.64888906,-0.7957553
225,-0.67178327,-0.778677
226,-0.69111854,-0.7100324
227,-0.69900906,-0.9155152
228,-0.7303155,-0.7449488
229,-0.7382382,-0.8312919
230,-0.75359255,-0.7809331
231,-0.76070154,-0.670477
232,-0.7518238,-0.6523584
233,-0.7393144,-0.8279029
234,-0.749568,-0.9530217
235,-0.77627105,-0.91848457
236,-0.79758567,-0.7534341
237,-0.79596084,-0.9559892
238,-0.81649894,-0.87660486
239,-0.8263171,-0.85882366
240,-0.8318063,-0.95511496
241,-0.8472505,-0.8126215
242,-0.8443989,-0.95639986
243,-0.8571744,-0.7634435
244,-0.84631807,-0.82653886
245,-0.8420753,-0.89360046
246,-0.8465195,-0.73600006
247,-0.8321926,-0.81383425
248,-0.8273935,-1.0555615
249,-0.85280263,-1.0701244
250,-0.8795887,-0.94690454
251,-0.88953424,-0.9066043
252,-0.8919436,-0.96855235
253,-0.8998713,-0.8223104
254,-0.8897756,-0.9134896
255,-0.8897275,-0.9460524
256,-0.8939781,-0.9676484
257,-0.90070015,-1.0252242
258,-0.91351575,-0.89484936
259,-0.91036344,-0.90636283
260,-0.90745145,-1.0675335
261,-0.9229893,-1.1495961
262,-0.9470927,-0.79562575
263,-0.92934036,-0.9895744
264,-0.93215317,-0.8984191
265,-0.9251288,-0.94657975
266,-0.9237186,-0.95977926
267,-0.92439187,-1.1872399
268,-0.9507515,-0.9875219
269,-0.953926,-0.9452201
270,-0.9502945,-0.9943901
271,-0.9515574,-1.0382658
272,-0.95764023,-1.0397336
273,-0.9634984,-0.79874843
274,-0.941382,-0.9151173
275,-0.93265754,-1.0244224
276,-0.93817896,-0.94134533
277,-0.9350574,-1.1024665
278,-0.9501349,-0.85074687
279,-0.9364995,-1.0089136
280,-0.9402679,-0.9442521
281,-0.9373037,-1.0137577
282,-0.9421901,-1.0745249
283,-0.95389247,-0.9665399
284,-0.9527836,-1.1466665
285,-0.97071,-1.0150051
286,-0.97326833,-0.9805911
287,-0.9705085,-1.0034603
288,-0.96982056,-0.91764396
289,-0.9595022,-0.8465393
290,-0.9413319,-0.94087714
291,-0.9353187,-0.88075876
292,-0.92409766,-0.789051
293,-0.90327847,-0.82454926
294,-0.8883214,-0.8469653
295,-0.87837934,-0.82657075
296,-0.8680049,-0.8078839
297,-0.856978,-1.016619
298,-0.87243134,-0.85493505
299,-0.8696223,-0.93706274
300,-0.8758225,-0.86386955
301,-0.87326616,-0.92588085
302,-0.87760276,-0.8553538
303,-0.87355727,-0.80554384
304,-0.86328894,-0.9258465
305,-0.86785024,-0.7735538
306,-0.8549297,-0.6422127
307,-0.82585305,-0.87121606
308,-0.8265393,-0.72641575
309,-0.8120302,-0.9032639
310,-0.8203436,-0.91178125
311,-0.83097136,-0.7141446
312,-0.8170824,-0.8013276
313,-0.8132418,-0.82479095
314,-0.8132292,-0.6995646
315,-0.7982392,-0.7043446
316,-0.78416723,-0.65992856
317,-0.76589197,-0.5518653
318,-0.7352768,-0.6766648
319,-0.72313684,-0.628058
320,-0.70810276,-0.7208731
321,-0.70748085,-0.7282362
322,-0.70993453,-0.5469632
323,-0.68944263,-0.57866627
324,-0.6731402,-0.4731112
325,-0.64445245,-0.33831653
326,-0.59892523,-0.6422662
327,-0.59836,-0.38668028
328,-0.56803185,-0.49062145
329,-0.55374885,-0.5862333
330,-0.55632275,-0.53772604
331,-0.5548629,-0.47789952
332,-0.54578453,-0.6475427
333,-0.56046575,-0.46957052
334,-0.55181646,-0.5850694
335,-0.5579348,-0.39402115
336,-0.5381557,-0.41672236
337,-0.52073705,-0.3338454
338,-0.49307218,-0.41828322
339,-0.47930127,-0.34375545
340,-0.4582531,-0.43320927
341,-0.4523382,-0.32373455
342,-0.433673,-0.5090719
343,-0.4430307,-0.34697813
344,-0.4318412,-0.26674828
345,-0.4086561,-0.4397327
346,-0.41125056,-0.17607182
347,-0.37833598,-0.16364516
348,-0.34326392,-0.38928115
349,-0.34451735,-0.12299544
350,-0.31145015,0.084311694
351,-0.2476169,-0.15950294
352,-0.22288568,0.05836854
353,-0.17284346,-0.069870785
354,-0.14658454,-0.18272087
355,-0.14454947,-0.12408887
356,-0.13916744,-0.26308993
357,-0.15701967,-0.14038046
358,-0.15815301,-0.14393683
359,-0.15837163,0.06751271
360,-0.12577856,0.06751271
361,-0.091783404,0.06751271
362,-0.06031189,0.06751271
363,-0.03298306,0.06751271
364,-0.0101840515,0.06751271
365,0.008315695,0.06751271
366,0.023020359,0.06751271
367,0.034520634,0.06751271
368,0.04339595,0.06751271
369,0.050167784,0.06751271
370,0.055282585,0.06751271
371,0.059109874,0.06751271
372,0.06194839,0.06751271
373,0.06403523,0.06751271
374,0.06555599,0.06751271
375,0.06665418,0.06751271
376,0.06743959,0.06751271
377,0.067995474,0.06751271
378,0.068384394,0.06751271
379,0.06865294,0.06751271
380,0.0688356,0.06751271
381,0.068957545,0.06751271
382,0.06903714,0.06751271
383,0.06908756,0.06751271
384,0.069118224,0.06751271
385,0.069135696,0.06751271
386,0.06914464,0.06751271
387,0.0691482,0.06751271
388,0.06914853,0.06751271
389,0.06914704,0.06751271
390,0.06914465,0.06751271
391,0.06914191,0.06751271
392,0.069139205,0.06751271
393,0.0691367,0.06751271
394,0.06913449,0.06751271
395,0.06913257,0.06751271
396,0.06913098,0.06751271
397,0.06912967,0.06751271
398,0.069128625,0.06751271
399,0.069127776,0.06751271
400,0.069127135,0.06751271
401,0.069126606,0.06751271
402,0.06912621,0.06751271
403,0.06912589,0.06751271
404,0.06912568,0.06751271
405,0.0691255,0.06751271
406,0.06912539,0.06751271
407,0.069125295,0.06751271
408,0.069125235,0.06751271
409,0.06912518,0.06751271
410,0.069125146,0.06751271
411,0.06912512,0.06751271
412,0.06912511,0.06751271
413,0.0691251,0.06751271
414,0.069125086,0.06751271
415,0.06912507,0.06751271
416,0.06912507,0.06751271
417,0.06912507,0.06751271
418,0.06912506,0.06751271
419,0.06912507,0.06751271
